"Time (s) run 1","Angle, Ch P2 (rad) run 1","Time (s) Run #2","Angle, Ch P2 (rad) Run #2","Time (s) 1.11","Angle, Ch P2 (rad) 1.11","Time (s) Run #4","Angle, Ch P2 (rad) Run #4","Time (s) Run #5","Angle, Ch P2 (rad) Run #5","Time (s) Run #6","Angle, Ch P2 (rad) Run #6","Time (s) Run #7","Angle, Ch P2 (rad) Run #7","Time (s) Run #8","Angle, Ch P2 (rad) Run #8","Time (s) Run #9","Angle, Ch P2 (rad) Run #9","Time (s) Run #10","Angle, Ch P2 (rad) Run #10"
,,,,21.640,-0.9487616900,21.640,0.8419474600,21.640,0.1099558250,21.640,0.8058191175,21.640,-0.4539604775,21.640,0.1130974200,21.640,1.3555982425,21.640,0.0157079750
,,,,21.650,-0.9471908925,21.650,0.8246686875,21.650,0.0879646600,21.650,0.8026775225,21.650,-0.4382525025,21.650,0.1146682175,21.650,1.3603106350,21.650,0.0188495700
,,,,21.660,-0.9440492975,21.660,0.8073899150,21.660,0.0659734950,21.660,0.7995359275,21.660,-0.4209737300,21.660,0.1162390150,21.660,1.3634522300,21.660,0.0204203675
,,,,21.670,-0.9393369050,21.670,0.7869695475,21.670,0.0455531275,21.670,0.7963943325,21.670,-0.4052657550,21.670,0.1178098125,21.670,1.3665938250,21.670,0.0219911650
,,,,21.680,-0.9346245125,21.680,0.7681199775,21.680,0.0251327600,21.680,0.7916819400,21.680,-0.3879869825,21.680,0.1178098125,21.680,1.3681646225,21.680,0.0235619625
,,,,21.690,-0.9299121200,21.690,0.7476996100,21.690,0.0047123925,21.690,0.7869695475,21.690,-0.3722790075,21.690,0.1178098125,21.690,1.3681646225,21.690,0.0251327600
,,,,21.700,-0.9236289300,21.700,0.7272792425,21.700,-0.0157079750,21.700,0.7806863575,21.700,-0.3565710325,21.700,0.1178098125,21.700,1.3681646225,21.700,0.0267035575
,,,,21.710,-0.9173457400,21.710,0.7068588750,21.710,-0.0345575450,21.710,0.7728323700,21.710,-0.3408630575,21.710,0.1178098125,21.710,1.3665938250,21.710,0.0267035575
,,,,21.720,-0.9094917525,21.720,0.6848677100,21.720,-0.0534071150,21.720,0.7665491800,21.720,-0.3235842850,21.720,0.1162390150,21.720,1.3650230275,21.720,0.0267035575
,,,,21.730,-0.9000669675,21.730,0.6613057475,21.730,-0.0722566850,21.730,0.7586951925,21.730,-0.3078763100,21.730,0.1146682175,21.730,1.3603106350,21.730,0.0267035575
,,,,21.740,-0.8906421825,21.740,0.6377437850,21.740,-0.0911062550,21.740,0.7492704075,21.740,-0.2921683350,21.740,0.1130974200,21.740,1.3571690400,21.740,0.0267035575
,,,,21.750,-0.8812173975,21.750,0.6141818225,21.750,-0.1083850275,21.750,0.7398456225,21.750,-0.2780311575,21.750,0.1115266225,21.750,1.3508858500,21.750,0.0267035575
,,,,21.760,-0.8717926125,21.760,0.5906198600,21.760,-0.1256638000,21.760,0.7304208375,21.760,-0.2623231825,21.760,0.1083850275,21.760,1.3446026600,21.760,0.0251327600
,,,,21.770,-0.8607970300,21.770,0.5670578975,21.770,-0.1429425725,21.770,0.7194252550,21.770,-0.2466152075,21.770,0.1052434325,21.770,1.3367486725,21.770,0.0251327600
,,,,21.780,-0.8482306500,21.780,0.5419251375,21.780,-0.1586505475,21.780,0.7084296725,21.780,-0.2324780300,21.780,0.1021018375,21.780,1.3288946850,21.780,0.0235619625
,,,,21.790,-0.8356642700,21.790,0.5183631750,21.790,-0.1743585225,21.790,0.6974340900,21.790,-0.2183408525,21.790,0.0989602425,21.790,1.3194699000,21.790,0.0219911650
,,,,21.800,-0.8230978900,21.800,0.4932304150,21.800,-0.1884957000,21.800,0.6848677100,21.800,-0.2042036750,21.800,0.0942478500,21.800,1.3100451150,21.800,0.0188495700
,,,,21.810,-0.8089607125,21.810,0.4680976550,21.810,-0.2026328775,21.810,0.6723013300,21.810,-0.1900664975,21.810,0.0911062550,21.810,1.2990495325,21.810,0.0172787725
,,,,21.820,-0.7948235350,21.820,0.4445356925,21.820,-0.2167700550,21.820,0.6581641525,21.820,-0.1759293200,21.820,0.0863938625,21.820,1.2864831525,21.820,0.0141371775
,,,,21.830,-0.7806863575,21.830,0.4194029325,21.830,-0.2293364350,21.830,0.6455977725,21.830,-0.1633629400,21.830,0.0816814700,21.830,1.2739167725,21.830,0.0125663800
,,,,21.840,-0.7649783825,21.840,0.3942701725,21.840,-0.2419028150,21.840,0.6314605950,21.840,-0.1507965600,21.840,0.0753982800,21.840,1.2597795950,21.840,0.0094247850
,,,,21.850,-0.7492704075,21.850,0.3707082100,21.850,-0.2528983975,21.850,0.6157526200,21.850,-0.1382301800,21.850,0.0706858875,21.850,1.2440716200,21.850,0.0062831900
,,,,21.860,-0.7335624325,21.860,0.3471462475,21.860,-0.2638939800,21.860,0.6016154425,21.860,-0.1272345975,21.860,0.0644026975,21.860,1.2299344425,21.860,0.0031415950
,,,,21.870,-0.7162836600,21.870,0.3235842850,21.870,-0.2733187650,21.870,0.5859074675,21.870,-0.1146682175,21.870,0.0581195075,21.870,1.2126556700,21.870,-0.0015707975
,,,,21.880,-0.6990048875,21.880,0.3000223225,21.880,-0.2827435500,21.880,0.5686286950,21.880,-0.1052434325,21.880,0.0502655200,21.880,1.1953768975,21.880,-0.0047123925
,,,,21.890,-0.6817261150,21.890,0.2764603600,21.890,-0.2921683350,21.890,0.5529207200,21.890,-0.0942478500,21.890,0.0439823300,21.890,1.1780981250,21.890,-0.0094247850
,,,,21.900,-0.6644473425,21.900,0.2513276000,21.900,-0.2984515250,21.900,0.5356419475,21.900,-0.0848230650,21.900,0.0376991400,21.900,1.1592485550,21.900,-0.0141371775
,,,,21.910,-0.6455977725,21.910,0.2277656375,21.910,-0.3063055125,21.910,0.5199339725,21.910,-0.0753982800,21.910,0.0298451525,21.910,1.1403989850,21.910,-0.0188495700
,,,,21.920,-0.6267482025,21.920,0.2026328775,21.920,-0.3125887025,21.920,0.5026552000,21.920,-0.0659734950,21.920,0.0219911650,21.920,1.1199786175,21.920,-0.0235619625
,,,,21.930,-0.6094694300,21.930,0.1790709150,21.930,-0.3173010950,21.930,0.4853764275,21.930,-0.0581195075,21.930,0.0141371775,21.930,1.0995582500,21.930,-0.0282743550
,,,,21.940,-0.5906198600,21.940,0.1539381550,21.940,-0.3220134875,21.940,0.4665268575,21.940,-0.0502655200,21.940,0.0062831900,21.940,1.0775670850,21.940,-0.0329867475
,,,,21.950,-0.5701994925,21.950,0.1303761925,21.950,-0.3251550825,21.950,0.4492480850,21.950,-0.0424115325,21.950,-0.0031415950,21.950,1.0555759200,21.950,-0.0392699375
,,,,21.960,-0.5513499225,21.960,0.1083850275,21.960,-0.3282966775,21.960,0.4303985150,21.960,-0.0361283425,21.960,-0.0109955825,21.960,1.0335847550,21.960,-0.0439823300
,,,,21.970,-0.5325003525,21.970,0.0863938625,21.970,-0.3298674750,21.970,0.4131197425,21.970,-0.0314159500,21.970,-0.0204203675,21.970,1.0115935900,21.970,-0.0502655200
,,,,21.980,-0.5120799850,21.980,0.0659734950,21.980,-0.3314382725,21.980,0.3942701725,21.980,-0.0251327600,21.980,-0.0282743550,21.980,0.9880316275,21.980,-0.0565487100
,,,,21.990,-0.4916596175,21.990,0.0439823300,21.990,-0.3314382725,21.990,0.3769914000,21.990,-0.0204203675,21.990,-0.0376991400,21.990,0.9628988675,21.990,-0.0628319000
,,,,22.000,-0.4728100475,22.000,0.0235619625,22.000,-0.3314382725,22.000,0.3581418300,22.000,-0.0172787725,22.000,-0.0471239250,22.000,0.9393369050,22.000,-0.0691150900
,,,,22.010,-0.4523896800,22.010,0.0015707975,22.010,-0.3298674750,22.010,0.3392922600,22.010,-0.0125663800,22.010,-0.0565487100,22.010,0.9142041450,22.010,-0.0753982800
,,,,22.020,-0.4335401100,22.020,-0.0188495700,22.020,-0.3267258800,22.020,0.3204426900,22.020,-0.0109955825,22.020,-0.0659734950,22.020,0.8890713850,22.020,-0.0816814700
,,,,22.030,-0.4146905400,22.030,-0.0376991400,22.030,-0.3235842850,22.030,0.3031639175,22.030,-0.0078539875,22.030,-0.0753982800,22.030,0.8639386250,22.030,-0.0879646600
,,,,22.040,-0.3958409700,22.040,-0.0581195075,22.040,-0.3204426900,22.040,0.2843143475,22.040,-0.0062831900,22.040,-0.0848230650,22.040,0.8388058650,22.040,-0.0942478500
,,,,22.050,-0.3754206025,22.050,-0.0753982800,22.050,-0.3157302975,22.050,0.2654647775,22.050,-0.0062831900,22.050,-0.0942478500,22.050,0.8136731050,22.050,-0.1005310400
,,,,22.060,-0.3565710325,22.060,-0.0942478500,22.060,-0.3094471075,22.060,0.2481860050,22.060,-0.0047123925,22.060,-0.1036726350,22.060,0.7869695475,22.060,-0.1083850275
,,,,22.070,-0.3361506650,22.070,-0.1099558250,22.070,-0.3031639175,22.070,0.2293364350,22.070,-0.0062831900,22.070,-0.1146682175,22.070,0.7618367875,22.070,-0.1146682175
,,,,22.080,-0.3173010950,22.080,-0.1272345975,22.080,-0.2953099300,22.080,0.2120576625,22.080,-0.0062831900,22.080,-0.1240930025,22.080,0.7351332300,22.080,-0.1225222050
,,,,22.090,-0.2984515250,22.090,-0.1429425725,22.090,-0.2874559425,22.090,0.1947788900,22.090,-0.0078539875,22.090,-0.1335177875,22.090,0.7084296725,22.090,-0.1288053950
,,,,22.100,-0.2796019550,22.100,-0.1570797500,22.100,-0.2796019550,22.100,0.1775001175,22.100,-0.0109955825,22.100,-0.1429425725,22.100,0.6832969125,22.100,-0.1366593825
,,,,22.110,-0.2623231825,22.110,-0.1712169275,22.110,-0.2701771700,22.110,0.1602213450,22.110,-0.0141371775,22.110,-0.1523673575,22.110,0.6565933550,22.110,-0.1429425725
,,,,22.120,-0.2450444100,22.120,-0.1853541050,22.120,-0.2591815875,22.120,0.1429425725,22.120,-0.0172787725,22.120,-0.1633629400,22.120,0.6314605950,22.120,-0.1507965600
,,,,22.130,-0.2293364350,22.130,-0.1979204850,22.130,-0.2481860050,22.130,0.1272345975,22.130,-0.0219911650,22.130,-0.1727877250,22.130,0.6047570375,22.130,-0.1570797500
,,,,22.140,-0.2151992575,22.140,-0.2089160675,22.140,-0.2356196250,22.140,0.1115266225,22.140,-0.0267035575,22.140,-0.1822125100,22.140,0.5796242775,22.140,-0.1633629400
,,,,22.150,-0.2026328775,22.150,-0.2199116500,22.150,-0.2230532450,22.150,0.0958186475,22.150,-0.0314159500,22.150,-0.1916372950,22.150,0.5544915175,22.150,-0.1712169275
,,,,22.160,-0.1869249025,22.160,-0.2293364350,22.160,-0.2104868650,22.160,0.0801106725,22.160,-0.0376991400,22.160,-0.2010620800,22.160,0.5277879600,22.160,-0.1790709150
,,,,22.170,-0.1712169275,22.170,-0.2387612200,22.170,-0.1963496875,22.170,0.0644026975,22.170,-0.0439823300,22.170,-0.2104868650,22.170,0.5042259975,22.170,-0.1853541050
,,,,22.180,-0.1539381550,22.180,-0.2466152075,22.180,-0.1822125100,22.180,0.0502655200,22.180,-0.0518363175,22.180,-0.2199116500,22.180,0.4790932375,22.180,-0.1932080925
,,,,22.190,-0.1366593825,22.190,-0.2528983975,22.190,-0.1665045350,22.190,0.0361283425,22.190,-0.0596903050,22.190,-0.2277656375,22.190,0.4539604775,22.190,-0.1994912825
,,,,22.200,-0.1209514075,22.200,-0.2591815875,22.200,-0.1507965600,22.200,0.0235619625,22.200,-0.0675442925,22.200,-0.2371904225,22.200,0.4303985150,22.200,-0.2057744725
,,,,22.210,-0.1068142300,22.210,-0.2654647775,22.210,-0.1350885850,22.210,0.0094247850,22.210,-0.0769690775,22.210,-0.2450444100,22.210,0.4068365525,22.210,-0.2120576625
,,,,22.220,-0.0942478500,22.220,-0.2686063725,22.220,-0.1178098125,22.220,-0.0031415950,22.220,-0.0863938625,22.220,-0.2544691950,22.220,0.3848453875,22.220,-0.2183408525
,,,,22.230,-0.0816814700,22.230,-0.2717479675,22.230,-0.1005310400,22.230,-0.0141371775,22.230,-0.0958186475,22.230,-0.2623231825,22.230,0.3612834250,22.230,-0.2261948400
,,,,22.240,-0.0675442925,22.240,-0.2748895625,22.240,-0.0832522675,22.240,-0.0251327600,22.240,-0.1068142300,22.240,-0.2701771700,22.240,0.3392922600,22.240,-0.2324780300
,,,,22.250,-0.0549779125,22.250,-0.2764603600,22.250,-0.0644026975,22.250,-0.0361283425,22.250,-0.1178098125,22.250,-0.2780311575,22.250,0.3188718925,22.250,-0.2371904225
,,,,22.260,-0.0424115325,22.260,-0.2764603600,22.260,-0.0455531275,22.260,-0.0471239250,22.260,-0.1288053950,22.260,-0.2858851450,22.260,0.2984515250,22.260,-0.2434736125
,,,,22.270,-0.0314159500,22.270,-0.2764603600,22.270,-0.0267035575,22.270,-0.0565487100,22.270,-0.1413717750,22.270,-0.2921683350,22.270,0.2780311575,22.270,-0.2497568025
,,,,22.280,-0.0219911650,22.280,-0.2748895625,22.280,-0.0062831900,22.280,-0.0659734950,22.280,-0.1523673575,22.280,-0.3000223225,22.280,0.2576107900,22.280,-0.2560399925
,,,,22.290,-0.0125663800,22.290,-0.2717479675,22.290,0.0141371775,22.290,-0.0738274825,22.290,-0.1649337375,22.290,-0.3063055125,22.290,0.2387612200,22.290,-0.2607523850
,,,,22.300,-0.0031415950,22.300,-0.2686063725,22.300,0.0345575450,22.300,-0.0816814700,22.300,-0.1790709150,22.300,-0.3125887025,22.300,0.2214824475,22.300,-0.2670355750
,,,,22.310,0.0047123925,22.310,-0.2638939800,22.310,0.0549779125,22.310,-0.0879646600,22.310,-0.1916372950,22.310,-0.3188718925,22.310,0.2042036750,22.310,-0.2717479675
,,,,22.320,0.0125663800,22.320,-0.2591815875,22.320,0.0753982800,22.320,-0.0942478500,22.320,-0.2057744725,22.320,-0.3251550825,22.320,0.1869249025,22.320,-0.2764603600
,,,,22.330,0.0204203675,22.330,-0.2528983975,22.330,0.0973894450,22.330,-0.1005310400,22.330,-0.2199116500,22.330,-0.3314382725,22.330,0.1712169275,22.330,-0.2811727525
,,,,22.340,0.0251327600,22.340,-0.2466152075,22.340,0.1178098125,22.340,-0.1052434325,22.340,-0.2356196250,22.340,-0.3361506650,22.340,0.1570797500,22.340,-0.2858851450
,,,,22.350,0.0314159500,22.350,-0.2403320175,22.350,0.1398009775,22.350,-0.1099558250,22.350,-0.2497568025,22.350,-0.3408630575,22.350,0.1429425725,22.350,-0.2905975375
,,,,22.360,0.0361283425,22.360,-0.2324780300,22.360,0.1617921425,22.360,-0.1130974200,22.360,-0.2638939800,22.360,-0.3455754500,22.360,0.1288053950,22.360,-0.2953099300
,,,,22.370,0.0392699375,22.370,-0.2230532450,22.370,0.1837833075,22.370,-0.1162390150,22.370,-0.2796019550,22.370,-0.3487170450,22.370,0.1162390150,22.370,-0.2984515250
,,,,22.380,0.0424115325,22.380,-0.2120576625,22.380,0.2057744725,22.380,-0.1193806100,22.380,-0.2953099300,22.380,-0.3534294375,22.380,0.1052434325,22.380,-0.3015931200
,,,,22.390,0.0439823300,22.390,-0.1994912825,22.390,0.2277656375,22.390,-0.1193806100,22.390,-0.3110179050,22.390,-0.3565710325,22.390,0.0942478500,22.390,-0.3047347150
,,,,22.400,0.0455531275,22.400,-0.1869249025,22.400,0.2497568025,22.400,-0.1209514075,22.400,-0.3267258800,22.400,-0.3597126275,22.400,0.0848230650,22.400,-0.3078763100
,,,,22.410,0.0471239250,22.410,-0.1743585225,22.410,0.2717479675,22.410,-0.1209514075,22.410,-0.3424338550,22.410,-0.3628542225,22.410,0.0769690775,22.410,-0.3110179050
,,,,22.420,0.0455531275,22.420,-0.1602213450,22.420,0.2937391325,22.420,-0.1209514075,22.420,-0.3597126275,22.420,-0.3644250200,22.420,0.0691150900,22.420,-0.3141595000
,,,,22.430,0.0455531275,22.430,-0.1445133700,22.430,0.3141595000,22.430,-0.1193806100,22.430,-0.3754206025,22.430,-0.3675666150,22.430,0.0612611025,22.430,-0.3173010950
,,,,22.440,0.0424115325,22.440,-0.1288053950,22.440,0.3361506650,22.440,-0.1178098125,22.440,-0.3911285775,22.440,-0.3691374125,22.440,0.0565487100,22.440,-0.3188718925
,,,,22.450,0.0408407350,22.450,-0.1130974200,22.450,0.3581418300,22.450,-0.1146682175,22.450,-0.4084073500,22.450,-0.3691374125,22.450,0.0502655200,22.450,-0.3204426900
,,,,22.460,0.0376991400,22.460,-0.0942478500,22.460,0.3785621975,22.460,-0.1115266225,22.460,-0.4241153250,22.460,-0.3707082100,22.460,0.0471239250,22.460,-0.3220134875
,,,,22.470,0.0329867475,22.470,-0.0769690775,22.470,0.3989825650,22.470,-0.1068142300,22.470,-0.4398233000,22.470,-0.3707082100,22.470,0.0439823300,22.470,-0.3235842850
,,,,22.480,0.0282743550,22.480,-0.0581195075,22.480,0.4194029325,22.480,-0.1021018375,22.480,-0.4571020725,22.480,-0.3707082100,22.480,0.0424115325,22.480,-0.3251550825
,,,,22.490,0.0219911650,22.490,-0.0376991400,22.490,0.4398233000,22.490,-0.0958186475,22.490,-0.4728100475,22.490,-0.3707082100,22.490,0.0408407350,22.490,-0.3251550825
,,,,22.500,0.0157079750,22.500,-0.0188495700,22.500,0.4602436675,22.500,-0.0895354575,22.500,-0.4885180225,22.500,-0.3691374125,22.500,0.0408407350,22.500,-0.3251550825
,,,,22.510,0.0094247850,22.510,0.0031415950,22.510,0.4806640350,22.510,-0.0832522675,22.510,-0.5042259975,22.510,-0.3691374125,22.510,0.0424115325,22.510,-0.3251550825
,,,,22.520,0.0015707975,22.520,0.0235619625,22.520,0.4995136050,22.520,-0.0753982800,22.520,-0.5199339725,22.520,-0.3675666150,22.520,0.0439823300,22.520,-0.3251550825
,,,,22.530,-0.0062831900,22.530,0.0455531275,22.530,0.5183631750,22.530,-0.0675442925,22.530,-0.5356419475,22.530,-0.3659958175,22.530,0.0471239250,22.530,-0.3251550825
,,,,22.540,-0.0172787725,22.540,0.0691150900,22.540,0.5356419475,22.540,-0.0581195075,22.540,-0.5513499225,22.540,-0.3628542225,22.540,0.0502655200,22.540,-0.3251550825
,,,,22.550,-0.0282743550,22.550,0.0911062550,22.550,0.5544915175,22.550,-0.0486947225,22.550,-0.5670578975,22.550,-0.3597126275,22.550,0.0549779125,22.550,-0.3235842850
,,,,22.560,-0.0392699375,22.560,0.1146682175,22.560,0.5717702900,22.560,-0.0392699375,22.560,-0.5811950750,22.560,-0.3581418300,22.560,0.0612611025,22.560,-0.3220134875
,,,,22.570,-0.0502655200,22.570,0.1398009775,22.570,0.5874782650,22.570,-0.0282743550,22.570,-0.5969030500,22.570,-0.3534294375,22.570,0.0675442925,22.570,-0.3204426900
,,,,22.580,-0.0612611025,22.580,0.1633629400,22.580,0.6031862400,22.580,-0.0172787725,22.580,-0.6110402275,22.580,-0.3502878425,22.580,0.0753982800,22.580,-0.3188718925
,,,,22.590,-0.0738274825,22.590,0.1884957000,22.590,0.6188942150,22.590,-0.0047123925,22.590,-0.6251774050,22.590,-0.3471462475,22.590,0.0848230650,22.590,-0.3173010950
,,,,22.600,-0.0863938625,22.600,0.2136284600,22.600,0.6346021900,22.600,0.0078539875,22.600,-0.6393145825,22.600,-0.3424338550,22.600,0.0942478500,22.600,-0.3141595000
,,,,22.610,-0.1021018375,22.610,0.2387612200,22.610,0.6487393675,22.610,0.0204203675,22.610,-0.6518809625,22.610,-0.3377214625,22.610,0.1052434325,22.610,-0.3125887025
,,,,22.620,-0.1162390150,22.620,0.2638939800,22.620,0.6613057475,22.620,0.0329867475,22.620,-0.6644473425,22.620,-0.3314382725,22.620,0.1162390150,22.620,-0.3094471075
,,,,22.630,-0.1303761925,22.630,0.2905975375,22.630,0.6754429250,22.630,0.0471239250,22.630,-0.6785845200,22.630,-0.3267258800,22.630,0.1288053950,22.630,-0.3063055125
,,,,22.640,-0.1460841675,22.640,0.3173010950,22.640,0.6864385075,22.640,0.0612611025,22.640,-0.6895801025,22.640,-0.3204426900,22.640,0.1413717750,22.640,-0.3031639175
,,,,22.650,-0.1617921425,22.650,0.3440046525,22.650,0.6990048875,22.650,0.0769690775,22.650,-0.7021464825,22.650,-0.3141595000,22.650,0.1555089525,22.650,-0.3000223225
,,,,22.660,-0.1775001175,22.660,0.3707082100,22.660,0.7084296725,22.660,0.0926770525,22.660,-0.7131420650,22.660,-0.3078763100,22.660,0.1712169275,22.660,-0.2953099300
,,,,22.670,-0.1963496875,22.670,0.3958409700,22.670,0.7194252550,22.670,0.1083850275,22.670,-0.7241376475,22.670,-0.3015931200,22.670,0.1869249025,22.670,-0.2921683350
,,,,22.680,-0.2136284600,22.680,0.4225445275,22.680,0.7288500400,22.680,0.1240930025,22.680,-0.7351332300,22.680,-0.2953099300,22.680,0.2026328775,22.680,-0.2874559425
,,,,22.690,-0.2309072325,22.690,0.4476772875,22.690,0.7367040275,22.690,0.1398009775,22.690,-0.7445580150,22.690,-0.2874559425,22.690,0.2199116500,22.690,-0.2827435500
,,,,22.700,-0.2497568025,22.700,0.4712392500,22.700,0.7445580150,22.700,0.1570797500,22.700,-0.7539828000,22.700,-0.2796019550,22.700,0.2371904225,22.700,-0.2780311575
,,,,22.710,-0.2670355750,22.710,0.4963720100,22.710,0.7508412050,22.710,0.1727877250,22.710,-0.7618367875,22.710,-0.2717479675,22.710,0.2560399925,22.710,-0.2733187650
,,,,22.720,-0.2858851450,22.720,0.5215047700,22.720,0.7571243950,22.720,0.1900664975,22.720,-0.7712615725,22.720,-0.2638939800,22.720,0.2764603600,22.720,-0.2686063725
,,,,22.730,-0.3047347150,22.730,0.5450667325,22.730,0.7618367875,22.730,0.2089160675,22.730,-0.7791155600,22.730,-0.2560399925,22.730,0.2968807275,22.730,-0.2623231825
,,,,22.740,-0.3235842850,22.740,0.5686286950,22.740,0.7665491800,22.740,0.2261948400,22.740,-0.7853987500,22.740,-0.2481860050,22.740,0.3173010950,22.740,-0.2576107900
,,,,22.750,-0.3440046525,22.750,0.5921906575,22.750,0.7696907750,22.750,0.2434736125,22.750,-0.7916819400,22.750,-0.2387612200,22.750,0.3377214625,22.750,-0.2513276000
,,,,22.760,-0.3644250200,22.760,0.6157526200,22.760,0.7728323700,22.760,0.2623231825,22.760,-0.7979651300,22.760,-0.2309072325,22.760,0.3597126275,22.760,-0.2450444100
,,,,22.770,-0.3848453875,22.770,0.6361729875,22.770,0.7744031675,22.770,0.2796019550,22.770,-0.8042483200,22.770,-0.2214824475,22.770,0.3832745900,22.770,-0.2387612200
,,,,22.780,-0.4036949575,22.780,0.6565933550,22.780,0.7744031675,22.780,0.2984515250,22.780,-0.8089607125,22.780,-0.2120576625,22.780,0.4052657550,22.780,-0.2340488275
,,,,22.790,-0.4225445275,22.790,0.6754429250,22.790,0.7744031675,22.790,0.3173010950,22.790,-0.8121023075,22.790,-0.2042036750,22.790,0.4288277175,22.790,-0.2277656375
,,,,22.800,-0.4398233000,22.800,0.6942924950,22.800,0.7744031675,22.800,0.3345798675,22.800,-0.8168147000,22.800,-0.1932080925,22.800,0.4523896800,22.800,-0.2214824475
,,,,22.810,-0.4586728700,22.810,0.7115712675,22.810,0.7728323700,22.810,0.3534294375,22.810,-0.8183854975,22.810,-0.1837833075,22.810,0.4775224400,22.810,-0.2136284600
,,,,22.820,-0.4775224400,22.820,0.7304208375,22.820,0.7696907750,22.820,0.3722790075,22.820,-0.8215270925,22.820,-0.1743585225,22.820,0.5010844025,22.820,-0.2073452700
,,,,22.830,-0.4948012125,22.830,0.7476996100,22.830,0.7665491800,22.830,0.3895577800,22.830,-0.8230978900,22.830,-0.1649337375,22.830,0.5262171625,22.830,-0.2010620800
,,,,22.840,-0.5120799850,22.840,0.7665491800,22.840,0.7618367875,22.840,0.4084073500,22.840,-0.8246686875,22.840,-0.1555089525,22.840,0.5513499225,22.840,-0.1932080925
,,,,22.850,-0.5309295550,22.850,0.7853987500,22.850,0.7571243950,22.850,0.4272569200,22.850,-0.8246686875,22.850,-0.1460841675,22.850,0.5764826825,22.850,-0.1869249025
,,,,22.860,-0.5497791250,22.860,0.8058191175,22.860,0.7508412050,22.860,0.4445356925,22.860,-0.8246686875,22.860,-0.1366593825,22.860,0.6031862400,22.860,-0.1806417125
,,,,22.870,-0.5686286950,22.870,0.8230978900,22.870,0.7445580150,22.870,0.4633852625,22.870,-0.8230978900,22.870,-0.1272345975,22.870,0.6283190000,22.870,-0.1727877250
,,,,22.880,-0.5874782650,22.880,0.8403766625,22.880,0.7367040275,22.880,0.4806640350,22.880,-0.8215270925,22.880,-0.1162390150,22.880,0.6550225575,22.880,-0.1665045350
,,,,22.890,-0.6078986325,22.890,0.8545138400,22.890,0.7288500400,22.890,0.4979428075,22.890,-0.8199562950,22.890,-0.1068142300,22.890,0.6801553175,22.890,-0.1586505475
,,,,22.900,-0.6267482025,22.900,0.8702218150,22.900,0.7194252550,22.900,0.5152215800,22.900,-0.8168147000,22.900,-0.0973894450,22.900,0.7068588750,22.900,-0.1523673575
,,,,22.910,-0.6440269750,22.910,0.8859297900,22.910,0.7100004700,22.910,0.5325003525,22.910,-0.8136731050,22.910,-0.0879646600,22.910,0.7319916350,22.910,-0.1445133700
,,,,22.920,-0.6628765450,22.920,0.9000669675,22.920,0.6990048875,22.920,0.5482083275,22.920,-0.8089607125,22.920,-0.0785398750,22.920,0.7586951925,22.920,-0.1382301800
,,,,22.930,-0.6801553175,22.930,0.9126333475,22.930,0.6880093050,22.930,0.5654871000,22.930,-0.8042483200,22.930,-0.0675442925,22.930,0.7853987500,22.930,-0.1303761925
,,,,22.940,-0.6958632925,22.940,0.9251997275,22.940,0.6754429250,22.940,0.5811950750,22.940,-0.7995359275,22.940,-0.0596903050,22.940,0.8105315100,22.940,-0.1240930025
,,,,22.950,-0.7115712675,22.950,0.9361953100,22.950,0.6628765450,22.950,0.5969030500,22.950,-0.7932527375,22.950,-0.0502655200,22.950,0.8356642700,22.950,-0.1162390150
,,,,22.960,-0.7272792425,22.960,0.9456200950,22.960,0.6503101650,22.960,0.6126110250,22.960,-0.7869695475,22.960,-0.0408407350,22.960,0.8623678275,22.960,-0.1099558250
,,,,22.970,-0.7429872175,22.970,0.9566156775,22.970,0.6361729875,22.970,0.6267482025,22.970,-0.7806863575,22.970,-0.0314159500,22.970,0.8875005875,22.970,-0.1036726350
,,,,22.980,-0.7586951925,22.980,0.9644696650,22.980,0.6204650125,22.980,0.6408853800,22.980,-0.7728323700,22.980,-0.0219911650,22.980,0.9110625500,22.980,-0.0958186475
,,,,22.990,-0.7744031675,22.990,0.9723236525,22.990,0.6063278350,22.990,0.6550225575,22.990,-0.7649783825,22.990,-0.0141371775,22.990,0.9361953100,22.990,-0.0895354575
,,,,23.000,-0.7885403450,23.000,0.9786068425,23.000,0.5890490625,23.000,0.6675889375,23.000,-0.7555535975,23.000,-0.0047123925,23.000,0.9613280700,23.000,-0.0832522675
,,,,23.010,-0.8042483200,23.010,0.9848900325,23.010,0.5733410875,23.010,0.6817261150,23.010,-0.7461288125,23.010,0.0031415950,23.010,0.9848900325,23.010,-0.0769690775
,,,,23.020,-0.8168147000,23.020,0.9896024250,23.020,0.5560623150,23.020,0.6927216975,23.020,-0.7367040275,23.020,0.0109955825,23.020,1.0084519950,23.020,-0.0706858875
,,,,23.030,-0.8293810800,23.030,0.9927440200,23.030,0.5387835425,23.030,0.7052880775,23.030,-0.7272792425,23.030,0.0188495700,23.030,1.0304431600,23.030,-0.0644026975
,,,,23.040,-0.8419474600,23.040,0.9958856150,23.040,0.5199339725,23.040,0.7162836600,23.040,-0.7162836600,23.040,0.0267035575,23.040,1.0524343250,23.040,-0.0581195075
,,,,23.050,-0.8529430425,23.050,0.9974564125,23.050,0.5010844025,23.050,0.7272792425,23.050,-0.7052880775,23.050,0.0345575450,23.050,1.0744254900,23.050,-0.0518363175
