"Time (s) run 1","Angle, Ch P2 (rad) run 1","Time (s) Run #2","Angle, Ch P2 (rad) Run #2","Time (s) 1.11","Angle, Ch P2 (rad) 1.11","Time (s) Run #4","Angle, Ch P2 (rad) Run #4","Time (s) Run #5","Angle, Ch P2 (rad) Run #5","Time (s) Run #6","Angle, Ch P2 (rad) Run #6","Time (s) Run #7","Angle, Ch P2 (rad) Run #7","Time (s) Run #8","Angle, Ch P2 (rad) Run #8","Time (s) Run #9","Angle, Ch P2 (rad) Run #9","Time (s) Run #10","Angle, Ch P2 (rad) Run #10"
0.600,-0.7115712675,0.600,0.7414164200,0.600,-0.7147128625,0.600,0.9707528550,0.600,0.6723013300,0.600,0.4822348325,0.600,-0.8293810800,0.600,-0.3361506650,0.600,1.3304654825,0.600,-0.3282966775
0.610,-0.7288500400,0.610,0.7649783825,0.610,-0.7335624325,0.610,0.9581864750,0.610,0.6581641525,0.610,0.4995136050,0.610,-0.8340934725,0.610,-0.3298674750,0.610,1.3430318625,0.610,-0.3282966775
0.620,-0.7461288125,0.620,0.7853987500,0.620,-0.7508412050,0.620,0.9424785000,0.620,0.6424561775,0.620,0.5183631750,0.620,-0.8356642700,0.620,-0.3251550825,0.620,1.3524566475,0.620,-0.3267258800
0.630,-0.7618367875,0.630,0.8073899150,0.630,-0.7681199775,0.630,0.9283413225,0.630,0.6251774050,0.630,0.5356419475,0.630,-0.8388058650,0.630,-0.3173010950,0.630,1.3634522300,0.630,-0.3251550825
0.640,-0.7791155600,0.640,0.8278102825,0.640,-0.7853987500,0.640,0.9126333475,0.640,0.6094694300,0.640,0.5529207200,0.640,-0.8403766625,0.640,-0.3110179050,0.640,1.3728770150,0.640,-0.3220134875
0.650,-0.7948235350,0.650,0.8482306500,0.650,-0.8011067250,0.650,0.8969253725,0.650,0.5906198600,0.650,0.5701994925,0.650,-0.8419474600,0.650,-0.3047347150,0.650,1.3807310025,0.650,-0.3204426900
0.660,-0.8089607125,0.660,0.8670802200,0.660,-0.8168147000,0.660,0.8812173975,0.660,0.5733410875,0.660,0.5874782650,0.660,-0.8419474600,0.660,-0.2968807275,0.660,1.3870141925,0.660,-0.3173010950
0.670,-0.8230978900,0.670,0.8875005875,0.670,-0.8325226750,0.670,0.8623678275,0.670,0.5544915175,0.670,0.6031862400,0.670,-0.8419474600,0.670,-0.2890267400,0.670,1.3932973825,0.670,-0.3141595000
0.680,-0.8372350675,0.680,0.9047793600,0.680,-0.8482306500,0.680,0.8435182575,0.680,0.5356419475,0.680,0.6204650125,0.680,-0.8403766625,0.680,-0.2811727525,0.680,1.3980097750,0.680,-0.3110179050
0.690,-0.8513722450,0.690,0.9236289300,0.690,-0.8623678275,0.690,0.8246686875,0.690,0.5167923775,0.690,0.6361729875,0.690,-0.8388058650,0.690,-0.2733187650,0.690,1.4011513700,0.690,-0.3078763100
0.700,-0.8639386250,0.700,0.9409077025,0.700,-0.8765050050,0.700,0.8042483200,0.700,0.4963720100,0.700,0.6503101650,0.700,-0.8356642700,0.700,-0.2654647775,0.700,1.4042929650,0.700,-0.3047347150
0.710,-0.8749342075,0.710,0.9581864750,0.710,-0.8890713850,0.710,0.7853987500,0.710,0.4759516425,0.710,0.6644473425,0.710,-0.8340934725,0.710,-0.2576107900,0.710,1.4058637625,0.710,-0.3015931200
0.720,-0.8875005875,0.720,0.9738944500,0.720,-0.9032085625,0.720,0.7634075850,0.720,0.4555312750,0.720,0.6785845200,0.720,-0.8293810800,0.720,-0.2481860050,0.720,1.4074345600,0.720,-0.2968807275
0.730,-0.8969253725,0.730,0.9880316275,0.730,-0.9142041450,0.730,0.7429872175,0.730,0.4335401100,0.730,0.6927216975,0.730,-0.8262394850,0.730,-0.2387612200,0.730,1.4074345600,0.730,-0.2921683350
0.740,-0.9079209550,0.740,1.0021688050,0.740,-0.9251997275,0.740,0.7194252550,0.740,0.4115489450,0.740,0.7052880775,0.740,-0.8199562950,0.740,-0.2309072325,0.740,1.4058637625,0.740,-0.2874559425
0.750,-0.9173457400,0.750,1.0163059825,0.750,-0.9346245125,0.750,0.6958632925,0.750,0.3895577800,0.750,0.7178544575,0.750,-0.8152439025,0.750,-0.2214824475,0.750,1.4027221675,0.750,-0.2827435500
0.760,-0.9251997275,0.760,1.0288723625,0.760,-0.9440492975,0.760,0.6707305325,0.760,0.3675666150,0.760,0.7304208375,0.760,-0.8089607125,0.760,-0.2120576625,0.760,1.3995805725,0.760,-0.2780311575
0.770,-0.9330537150,0.770,1.0398679450,0.770,-0.9534740825,0.770,0.6471685700,0.770,0.3455754500,0.770,0.7414164200,0.770,-0.8026775225,0.770,-0.2026328775,0.770,1.3948681800,0.770,-0.2717479675
0.780,-0.9393369050,0.780,1.0508635275,0.780,-0.9613280700,0.780,0.6220358100,0.780,0.3235842850,0.780,0.7524120025,0.780,-0.7948235350,0.780,-0.1932080925,0.780,1.3901557875,0.780,-0.2670355750
0.790,-0.9456200950,0.790,1.0618591100,0.790,-0.9676112600,0.790,0.5969030500,0.790,0.3000223225,0.790,0.7618367875,0.790,-0.7869695475,0.790,-0.1822125100,0.790,1.3838725975,0.790,-0.2623231825
0.800,-0.9519032850,0.800,1.0712838950,0.800,-0.9738944500,0.800,0.5701994925,0.800,0.2764603600,0.800,0.7712615725,0.800,-0.7775447625,0.800,-0.1727877250,0.800,1.3760186100,0.800,-0.2560399925
0.810,-0.9566156775,0.810,1.0791378825,0.810,-0.9786068425,0.810,0.5450667325,0.810,0.2544691950,0.810,0.7806863575,0.810,-0.7696907750,0.810,-0.1633629400,0.810,1.3665938250,0.810,-0.2497568025
0.820,-0.9597572725,0.820,1.0869918700,0.820,-0.9833192350,0.820,0.5183631750,0.820,0.2309072325,0.820,0.7885403450,0.820,-0.7602659900,0.820,-0.1523673575,0.820,1.3571690400,0.820,-0.2434736125
0.830,-0.9628988675,0.830,1.0932750600,0.830,-0.9864608300,0.830,0.4916596175,0.830,0.2089160675,0.830,0.7963943325,0.830,-0.7492704075,0.830,-0.1429425725,0.830,1.3477442550,0.830,-0.2371904225
0.840,-0.9660404625,0.840,1.0995582500,0.840,-0.9896024250,0.840,0.4633852625,0.840,0.1853541050,0.840,0.8026775225,0.840,-0.7382748250,0.840,-0.1335177875,0.840,1.3351778750,0.840,-0.2309072325
0.850,-0.9676112600,0.850,1.1042706425,0.850,-0.9911732225,0.850,0.4366817050,0.850,0.1617921425,0.850,0.8073899150,0.850,-0.7272792425,0.850,-0.1225222050,0.850,1.3226114950,0.850,-0.2246240425
0.860,-0.9676112600,0.860,1.1074122375,0.860,-0.9927440200,0.860,0.4099781475,0.860,0.1398009775,0.860,0.8136731050,0.860,-0.7162836600,0.860,-0.1130974200,0.860,1.3100451150,0.860,-0.2183408525
0.870,-0.9676112600,0.870,1.1105538325,0.870,-0.9927440200,0.870,0.3832745900,0.870,0.1162390150,0.870,0.8183854975,0.870,-0.7037172800,0.870,-0.1036726350,0.870,1.2959079375,0.870,-0.2104868650
0.880,-0.9676112600,0.880,1.1136954275,0.880,-0.9911732225,0.880,0.3565710325,0.880,0.0942478500,0.880,0.8215270925,0.880,-0.6911509000,0.880,-0.0926770525,0.880,1.2801999625,0.880,-0.2042036750
0.890,-0.9660404625,0.890,1.1136954275,0.890,-0.9896024250,0.890,0.3282966775,0.890,0.0722566850,0.890,0.8246686875,0.890,-0.6770137225,0.890,-0.0832522675,0.890,1.2644919875,0.890,-0.1979204850
0.900,-0.9628988675,0.900,1.1136954275,0.900,-0.9880316275,0.900,0.3015931200,0.900,0.0502655200,0.900,0.8262394850,0.900,-0.6644473425,0.900,-0.0722566850,0.900,1.2472132150,0.900,-0.1900664975
0.910,-0.9597572725,0.910,1.1136954275,0.910,-0.9848900325,0.910,0.2748895625,0.910,0.0282743550,0.910,0.8278102825,0.910,-0.6503101650,0.910,-0.0628319000,0.910,1.2299344425,0.910,-0.1837833075
0.920,-0.9566156775,0.920,1.1105538325,0.920,-0.9801776400,0.920,0.2481860050,0.920,0.0062831900,0.920,0.8293810800,0.920,-0.6361729875,0.920,-0.0534071150,0.920,1.2110848725,0.920,-0.1759293200
0.930,-0.9519032850,0.930,1.1074122375,0.930,-0.9754652475,0.930,0.2230532450,0.930,-0.0141371775,0.930,0.8293810800,0.930,-0.6220358100,0.930,-0.0439823300,0.930,1.1906645050,0.930,-0.1680753325
0.940,-0.9456200950,0.940,1.1042706425,0.940,-0.9691820575,0.940,0.1994912825,0.940,-0.0345575450,0.940,0.8278102825,0.940,-0.6063278350,0.940,-0.0345575450,0.940,1.1718149350,0.940,-0.1617921425
0.950,-0.9393369050,0.950,1.0995582500,0.950,-0.9613280700,0.950,0.1759293200,0.950,-0.0549779125,0.950,0.8262394850,0.950,-0.5921906575,0.950,-0.0251327600,0.950,1.1498237700,0.950,-0.1539381550
0.960,-0.9314829175,0.960,1.0948458575,0.960,-0.9534740825,0.960,0.1507965600,0.960,-0.0753982800,0.960,0.8246686875,0.960,-0.5764826825,0.960,-0.0157079750,0.960,1.1294034025,0.960,-0.1476549650
0.970,-0.9251997275,0.970,1.0885626675,0.970,-0.9440492975,0.970,0.1256638000,0.970,-0.0942478500,0.970,0.8215270925,0.970,-0.5607747075,0.970,-0.0078539875,0.970,1.1058414400,0.970,-0.1398009775
0.980,-0.9157749425,0.980,1.0807086800,0.980,-0.9346245125,0.980,0.1005310400,0.980,-0.1130974200,0.980,0.8168147000,0.980,-0.5434959350,0.980,0.0015707975,0.980,1.0838502750,0.980,-0.1335177875
0.990,-0.9063501575,0.990,1.0728546925,0.990,-0.9251997275,0.990,0.0769690775,0.990,-0.1319469900,0.990,0.8121023075,0.990,-0.5277879600,0.990,0.0109955825,0.990,1.0602883125,0.990,-0.1256638000
1.000,-0.8969253725,1.000,1.0634299075,1.000,-0.9142041450,1.000,0.0518363175,1.000,-0.1492257625,1.000,0.8073899150,1.000,-0.5120799850,1.000,0.0188495700,1.000,1.0367263500,1.000,-0.1178098125
1.010,-0.8859297900,1.010,1.0540051225,1.010,-0.9032085625,1.010,0.0298451525,1.010,-0.1665045350,1.010,0.8011067250,1.010,-0.4948012125,1.010,0.0267035575,1.010,1.0115935900,1.010,-0.1115266225
