"Time (s) 0","Angle, Ch P1 (rad) 0","Time (s) 0.04","Angle, Ch P1 (rad) 0.04","Time (s) 0.06","Angle, Ch P1 (rad) 0.06","Time (s) 0.1","Angle, Ch P1 (rad) 0.1","Time (s) 0.15","Angle, Ch P1 (rad) 0.15","Time (s) 0.2","Angle, Ch P1 (rad) 0.2","Time (s) 0.25","Angle, Ch P1 (rad) 0.25","Time (s) 0.3","Angle, Ch P1 (rad) 0.3","Time (s) 0.35","Angle, Ch P1 (rad) 0.35","Time (s) 0.4","Angle, Ch P1 (rad) 0.4","Time (s) 0.44","Angle, Ch P1 (rad) 0.44","Time (s) 0.46","Angle, Ch P1 (rad) 0.46","Time (s) 0.47","Angle, Ch P1 (rad) 0.47","Time (s) 0.49","Angle, Ch P1 (rad) 0.49","Time (s) 0.52","Angle, Ch P1 (rad) 0.52","Time (s) 0.51","Angle, Ch P1 (rad) 0.51","Time (s) 0.5","Angle, Ch P1 (rad) 0.5"
4.010,0.0581195075,4.010,-0.0329867475,4.010,0.1775001175,4.010,-0.1759293200,4.010,-0.0659734950,4.010,-0.0314159500,4.010,0.1665045350,4.010,-0.1099558250,4.010,-0.2010620800,4.010,-0.1916372950,4.010,-0.0596903050,4.010,0.0644026975,4.010,0.0172787725,4.010,-0.0031415950,4.010,0.0047123925,4.010,-0.0031415950,4.010,-0.0031415950
4.020,0.0534071150,4.020,-0.0298451525,4.020,0.1727877250,4.020,-0.1727877250,4.020,-0.0596903050,4.020,-0.0361283425,4.020,0.1696461300,4.020,-0.1178098125,4.020,-0.1994912825,4.020,-0.1837833075,4.020,-0.0565487100,4.020,0.0549779125,4.020,0.0125663800,4.020,-0.0062831900,4.020,0.0094247850,4.020,-0.0109955825,4.020,0.0094247850
4.030,0.0486947225,4.030,-0.0267035575,4.030,0.1680753325,4.030,-0.1680753325,4.030,-0.0534071150,4.030,-0.0408407350,4.030,0.1727877250,4.030,-0.1256638000,4.030,-0.1963496875,4.030,-0.1759293200,4.030,-0.0518363175,4.030,0.0455531275,4.030,0.0062831900,4.030,-0.0094247850,4.030,0.0157079750,4.030,-0.0188495700,4.030,0.0235619625
4.040,0.0455531275,4.040,-0.0235619625,4.040,0.1633629400,4.040,-0.1633629400,4.040,-0.0455531275,4.040,-0.0455531275,4.040,0.1743585225,4.040,-0.1319469900,4.040,-0.1947788900,4.040,-0.1665045350,4.040,-0.0471239250,4.040,0.0345575450,4.040,0.0015707975,4.040,-0.0125663800,4.040,0.0219911650,4.040,-0.0267035575,4.040,0.0361283425
4.050,0.0408407350,4.050,-0.0204203675,4.050,0.1586505475,4.050,-0.1602213450,4.050,-0.0376991400,4.050,-0.0518363175,4.050,0.1775001175,4.050,-0.1398009775,4.050,-0.1916372950,4.050,-0.1586505475,4.050,-0.0424115325,4.050,0.0251327600,4.050,-0.0047123925,4.050,-0.0157079750,4.050,0.0298451525,4.050,-0.0345575450,4.050,0.0486947225
4.060,0.0361283425,4.060,-0.0172787725,4.060,0.1539381550,4.060,-0.1539381550,4.060,-0.0314159500,4.060,-0.0565487100,4.060,0.1790709150,4.060,-0.1460841675,4.060,-0.1884957000,4.060,-0.1492257625,4.060,-0.0376991400,4.060,0.0157079750,4.060,-0.0109955825,4.060,-0.0188495700,4.060,0.0361283425,4.060,-0.0424115325,4.060,0.0612611025
4.070,0.0314159500,4.070,-0.0141371775,4.070,0.1492257625,4.070,-0.1492257625,4.070,-0.0235619625,4.070,-0.0628319000,4.070,0.1806417125,4.070,-0.1539381550,4.070,-0.1853541050,4.070,-0.1413717750,4.070,-0.0329867475,4.070,0.0078539875,4.070,-0.0172787725,4.070,-0.0219911650,4.070,0.0424115325,4.070,-0.0518363175,4.070,0.0738274825
4.080,0.0267035575,4.080,-0.0109955825,4.080,0.1445133700,4.080,-0.1445133700,4.080,-0.0157079750,4.080,-0.0691150900,4.080,0.1822125100,4.080,-0.1602213450,4.080,-0.1822125100,4.080,-0.1319469900,4.080,-0.0267035575,4.080,-0.0015707975,4.080,-0.0235619625,4.080,-0.0267035575,4.080,0.0486947225,4.080,-0.0596903050,4.080,0.0863938625
4.090,0.0219911650,4.090,-0.0078539875,4.090,0.1382301800,4.090,-0.1382301800,4.090,-0.0078539875,4.090,-0.0753982800,4.090,0.1837833075,4.090,-0.1665045350,4.090,-0.1775001175,4.090,-0.1240930025,4.090,-0.0204203675,4.090,-0.0109955825,4.090,-0.0298451525,4.090,-0.0314159500,4.090,0.0565487100,4.090,-0.0675442925,4.090,0.0973894450
4.100,0.0172787725,4.100,-0.0047123925,4.100,0.1335177875,4.100,-0.1335177875,4.100,3.8163916471E-17,4.100,-0.0801106725,4.100,0.1837833075,4.100,-0.1727877250,4.100,-0.1743585225,4.100,-0.1146682175,4.100,-0.0157079750,4.100,-0.0188495700,4.100,-0.0361283425,4.100,-0.0376991400,4.100,0.0644026975,4.100,-0.0753982800,4.100,0.1083850275
4.110,0.0141371775,4.110,-0.0031415950,4.110,0.1288053950,4.110,-0.1272345975,4.110,0.0078539875,4.110,-0.0879646600,4.110,0.1853541050,4.110,-0.1790709150,4.110,-0.1696461300,4.110,-0.1052434325,4.110,-0.0094247850,4.110,-0.0267035575,4.110,-0.0424115325,4.110,-0.0439823300,4.110,0.0706858875,4.110,-0.0832522675,4.110,0.1209514075
4.120,0.0094247850,4.120,-5.6378512969E-18,4.120,0.1225222050,4.120,-0.1209514075,4.120,0.0172787725,4.120,-0.0942478500,4.120,0.1853541050,4.120,-0.1853541050,4.120,-0.1649337375,4.120,-0.0973894450,4.120,-0.0031415950,4.120,-0.0345575450,4.120,-0.0486947225,4.120,-0.0486947225,4.120,0.0785398750,4.120,-0.0911062550,4.120,0.1319469900
4.130,0.0047123925,4.130,0.0015707975,4.130,0.1178098125,4.130,-0.1146682175,4.130,0.0251327600,4.130,-0.1005310400,4.130,0.1853541050,4.130,-0.1916372950,4.130,-0.1602213450,4.130,-0.0895354575,4.130,0.0031415950,4.130,-0.0424115325,4.130,-0.0549779125,4.130,-0.0549779125,4.130,0.0863938625,4.130,-0.0989602425,4.130,0.1445133700
4.140,0.0015707975,4.140,0.0047123925,4.140,0.1130974200,4.140,-0.1083850275,4.140,0.0329867475,4.140,-0.1068142300,4.140,0.1837833075,4.140,-0.1963496875,4.140,-0.1555089525,4.140,-0.0816814700,4.140,0.0094247850,4.140,-0.0486947225,4.140,-0.0628319000,4.140,-0.0612611025,4.140,0.0942478500,4.140,-0.1052434325,4.140,0.1555089525
4.150,-0.0031415950,4.150,0.0062831900,4.150,0.1068142300,4.150,-0.1021018375,4.150,0.0408407350,4.150,-0.1130974200,4.150,0.1837833075,4.150,-0.2026328775,4.150,-0.1507965600,4.150,-0.0738274825,4.150,0.0172787725,4.150,-0.0549779125,4.150,-0.0691150900,4.150,-0.0675442925,4.150,0.1005310400,4.150,-0.1115266225,4.150,0.1665045350
4.160,-0.0062831900,4.160,0.0094247850,4.160,0.1021018375,4.160,-0.0942478500,4.160,0.0502655200,4.160,-0.1209514075,4.160,0.1822125100,4.160,-0.2073452700,4.160,-0.1460841675,4.160,-0.0659734950,4.160,0.0235619625,4.160,-0.0596903050,4.160,-0.0753982800,4.160,-0.0738274825,4.160,0.1083850275,4.160,-0.1193806100,4.160,0.1759293200
4.170,-0.0109955825,4.170,0.0109955825,4.170,0.0973894450,4.170,-0.0879646600,4.170,0.0581195075,4.170,-0.1272345975,4.170,0.1806417125,4.170,-0.2120576625,4.170,-0.1398009775,4.170,-0.0596903050,4.170,0.0298451525,4.170,-0.0659734950,4.170,-0.0816814700,4.170,-0.0801106725,4.170,0.1146682175,4.170,-0.1256638000,4.170,0.1853541050
4.180,-0.0141371775,4.180,0.0125663800,4.180,0.0926770525,4.180,-0.0816814700,4.180,0.0659734950,4.180,-0.1335177875,4.180,0.1790709150,4.180,-0.2151992575,4.180,-0.1350885850,4.180,-0.0518363175,4.180,0.0361283425,4.180,-0.0706858875,4.180,-0.0895354575,4.180,-0.0879646600,4.180,0.1225222050,4.180,-0.1319469900,4.180,0.1947788900
4.190,-0.0172787725,4.190,0.0141371775,4.190,0.0863938625,4.190,-0.0738274825,4.190,0.0753982800,4.190,-0.1413717750,4.190,0.1759293200,4.190,-0.2199116500,4.190,-0.1303761925,4.190,-0.0455531275,4.190,0.0424115325,4.190,-0.0738274825,4.190,-0.0958186475,4.190,-0.0942478500,4.190,0.1288053950,4.190,-0.1382301800,4.190,0.2026328775
4.200,-0.0204203675,4.200,0.0157079750,4.200,0.0816814700,4.200,-0.0659734950,4.200,0.0832522675,4.200,-0.1476549650,4.200,0.1743585225,4.200,-0.2230532450,4.200,-0.1240930025,4.200,-0.0376991400,4.200,0.0486947225,4.200,-0.0769690775,4.200,-0.1021018375,4.200,-0.1021018375,4.200,0.1350885850,4.200,-0.1445133700,4.200,0.2089160675
4.210,-0.0235619625,4.210,0.0172787725,4.210,0.0769690775,4.210,-0.0596903050,4.210,0.0911062550,4.210,-0.1555089525,4.210,0.1712169275,4.210,-0.2277656375,4.210,-0.1178098125,4.210,-0.0314159500,4.210,0.0549779125,4.210,-0.0801106725,4.210,-0.1083850275,4.210,-0.1099558250,4.210,0.1429425725,4.210,-0.1492257625,4.210,0.2167700550
4.220,-0.0267035575,4.220,0.0188495700,4.220,0.0722566850,4.220,-0.0518363175,4.220,0.0989602425,4.220,-0.1617921425,4.220,0.1680753325,4.220,-0.2293364350,4.220,-0.1130974200,4.220,-0.0251327600,4.220,0.0612611025,4.220,-0.0816814700,4.220,-0.1130974200,4.220,-0.1162390150,4.220,0.1476549650,4.220,-0.1555089525,4.220,0.2230532450
4.230,-0.0298451525,4.230,0.0204203675,4.230,0.0675442925,4.230,-0.0455531275,4.230,0.1068142300,4.230,-0.1680753325,4.230,0.1633629400,4.230,-0.2324780300,4.230,-0.1068142300,4.230,-0.0204203675,4.230,0.0675442925,4.230,-0.0832522675,4.230,-0.1193806100,4.230,-0.1240930025,4.230,0.1539381550,4.230,-0.1602213450,4.230,0.2277656375
4.240,-0.0329867475,4.240,0.0204203675,4.240,0.0628319000,4.240,-0.0376991400,4.240,0.1146682175,4.240,-0.1759293200,4.240,0.1602213450,4.240,-0.2356196250,4.240,-0.1021018375,4.240,-0.0141371775,4.240,0.0738274825,4.240,-0.0848230650,4.240,-0.1240930025,4.240,-0.1303761925,4.240,0.1586505475,4.240,-0.1649337375,4.240,0.2324780300
4.250,-0.0345575450,4.250,0.0219911650,4.250,0.0581195075,4.250,-0.0298451525,4.250,0.1225222050,4.250,-0.1822125100,4.250,0.1570797500,4.250,-0.2371904225,4.250,-0.0958186475,4.250,-0.0094247850,4.250,0.0801106725,4.250,-0.0848230650,4.250,-0.1303761925,4.250,-0.1382301800,4.250,0.1633629400,4.250,-0.1696461300,4.250,0.2371904225
4.260,-0.0376991400,4.260,0.0219911650,4.260,0.0534071150,4.260,-0.0219911650,4.260,0.1303761925,4.260,-0.1884957000,4.260,0.1523673575,4.260,-0.2387612200,4.260,-0.0895354575,4.260,-0.0062831900,4.260,0.0863938625,4.260,-0.0848230650,4.260,-0.1350885850,4.260,-0.1445133700,4.260,0.1696461300,4.260,-0.1727877250,4.260,0.2403320175
4.270,-0.0392699375,4.270,0.0235619625,4.270,0.0486947225,4.270,-0.0157079750,4.270,0.1382301800,4.270,-0.1947788900,4.270,0.1476549650,4.270,-0.2403320175,4.270,-0.0848230650,4.270,-0.0015707975,4.270,0.0926770525,4.270,-0.0848230650,4.270,-0.1398009775,4.270,-0.1523673575,4.270,0.1743585225,4.270,-0.1759293200,4.270,0.2419028150
4.280,-0.0424115325,4.280,0.0235619625,4.280,0.0455531275,4.280,-0.0078539875,4.280,0.1445133700,4.280,-0.2010620800,4.280,0.1429425725,4.280,-0.2403320175,4.280,-0.0785398750,4.280,0.0015707975,4.280,0.0973894450,4.280,-0.0832522675,4.280,-0.1445133700,4.280,-0.1586505475,4.280,0.1775001175,4.280,-0.1790709150,4.280,0.2434736125
4.290,-0.0439823300,4.290,0.0235619625,4.290,0.0408407350,4.290,-5.8980598183E-17,4.290,0.1523673575,4.290,-0.2073452700,4.290,0.1382301800,4.290,-0.2403320175,4.290,-0.0738274825,4.290,0.0047123925,4.290,0.1021018375,4.290,-0.0816814700,4.290,-0.1476549650,4.290,-0.1649337375,4.290,0.1822125100,4.290,-0.1806417125,4.290,0.2434736125
4.300,-0.0455531275,4.300,0.0235619625,4.300,0.0361283425,4.300,0.0062831900,4.300,0.1586505475,4.300,-0.2136284600,4.300,0.1319469900,4.300,-0.2403320175,4.300,-0.0675442925,4.300,0.0078539875,4.300,0.1083850275,4.300,-0.0785398750,4.300,-0.1523673575,4.300,-0.1712169275,4.300,0.1869249025,4.300,-0.1837833075,4.300,0.2434736125
4.310,-0.0471239250,4.310,0.0235619625,4.310,0.0329867475,4.310,0.0141371775,4.310,0.1649337375,4.310,-0.2199116500,4.310,0.1272345975,4.310,-0.2403320175,4.310,-0.0628319000,4.310,0.0094247850,4.310,0.1130974200,4.310,-0.0753982800,4.310,-0.1555089525,4.310,-0.1775001175,4.310,0.1900664975,4.310,-0.1853541050,4.310,0.2434736125
4.320,-0.0486947225,4.320,0.0235619625,4.320,0.0298451525,4.320,0.0204203675,4.320,0.1712169275,4.320,-0.2246240425,4.320,0.1209514075,4.320,-0.2403320175,4.320,-0.0565487100,4.320,0.0109955825,4.320,0.1162390150,4.320,-0.0706858875,4.320,-0.1586505475,4.320,-0.1837833075,4.320,0.1932080925,4.320,-0.1853541050,4.320,0.2419028150
4.330,-0.0502655200,4.330,0.0235619625,4.330,0.0251327600,4.330,0.0282743550,4.330,0.1775001175,4.330,-0.2309072325,4.330,0.1162390150,4.330,-0.2387612200,4.330,-0.0518363175,4.330,0.0109955825,4.330,0.1209514075,4.330,-0.0675442925,4.330,-0.1617921425,4.330,-0.1884957000,4.330,0.1947788900,4.330,-0.1853541050,4.330,0.2387612200
4.340,-0.0502655200,4.340,0.0235619625,4.340,0.0219911650,4.340,0.0345575450,4.340,0.1837833075,4.340,-0.2356196250,4.340,0.1099558250,4.340,-0.2371904225,4.340,-0.0471239250,4.340,0.0125663800,4.340,0.1240930025,4.340,-0.0628319000,4.340,-0.1633629400,4.340,-0.1932080925,4.340,0.1963496875,4.340,-0.1853541050,4.340,0.2356196250
4.350,-0.0518363175,4.350,0.0235619625,4.350,0.0188495700,4.350,0.0408407350,4.350,0.1900664975,4.350,-0.2403320175,4.350,0.1036726350,4.350,-0.2356196250,4.350,-0.0424115325,4.350,0.0125663800,4.350,0.1288053950,4.350,-0.0565487100,4.350,-0.1649337375,4.350,-0.1979204850,4.350,0.1979204850,4.350,-0.1837833075,4.350,0.2309072325
4.360,-0.0518363175,4.360,0.0219911650,4.360,0.0157079750,4.360,0.0486947225,4.360,0.1947788900,4.360,-0.2466152075,4.360,0.0973894450,4.360,-0.2340488275,4.360,-0.0376991400,4.360,0.0109955825,4.360,0.1319469900,4.360,-0.0502655200,4.360,-0.1665045350,4.360,-0.2026328775,4.360,0.1994912825,4.360,-0.1837833075,4.360,0.2261948400
4.370,-0.0534071150,4.370,0.0219911650,4.370,0.0125663800,4.370,0.0549779125,4.370,0.1994912825,4.370,-0.2513276000,4.370,0.0911062550,4.370,-0.2309072325,4.370,-0.0329867475,4.370,0.0109955825,4.370,0.1335177875,4.370,-0.0439823300,4.370,-0.1680753325,4.370,-0.2057744725,4.370,0.1994912825,4.370,-0.1822125100,4.370,0.2199116500
4.380,-0.0534071150,4.380,0.0204203675,4.380,0.0109955825,4.380,0.0596903050,4.380,0.2042036750,4.380,-0.2544691950,4.380,0.0848230650,4.380,-0.2277656375,4.380,-0.0298451525,4.380,0.0094247850,4.380,0.1366593825,4.380,-0.0376991400,4.380,-0.1680753325,4.380,-0.2104868650,4.380,0.2010620800,4.380,-0.1806417125,4.380,0.2136284600
4.390,-0.0534071150,4.390,0.0188495700,4.390,0.0078539875,4.390,0.0659734950,4.390,0.2089160675,4.390,-0.2591815875,4.390,0.0769690775,4.390,-0.2246240425,4.390,-0.0251327600,4.390,0.0078539875,4.390,0.1382301800,4.390,-0.0298451525,4.390,-0.1696461300,4.390,-0.2136284600,4.390,0.2010620800,4.390,-0.1775001175,4.390,0.2073452700
4.400,-0.0534071150,4.400,0.0188495700,4.400,0.0047123925,4.400,0.0722566850,4.400,0.2136284600,4.400,-0.2638939800,4.400,0.0706858875,4.400,-0.2214824475,4.400,-0.0219911650,4.400,0.0047123925,4.400,0.1398009775,4.400,-0.0219911650,4.400,-0.1680753325,4.400,-0.2183408525,4.400,0.1994912825,4.400,-0.1743585225,4.400,0.1994912825
4.410,-0.0534071150,4.410,0.0172787725,4.410,0.0031415950,4.410,0.0785398750,4.410,0.2167700550,4.410,-0.2670355750,4.410,0.0644026975,4.410,-0.2167700550,4.410,-0.0188495700,4.410,0.0015707975,4.410,0.1413717750,4.410,-0.0141371775,4.410,-0.1680753325,4.410,-0.2214824475,4.410,0.1979204850,4.410,-0.1696461300,4.410,0.1916372950
4.420,-0.0534071150,4.420,0.0157079750,4.420,0.0015707975,4.420,0.0848230650,4.420,0.2214824475,4.420,-0.2701771700,4.420,0.0565487100,4.420,-0.2120576625,4.420,-0.0157079750,4.420,-0.0015707975,4.420,0.1413717750,4.420,-0.0062831900,4.420,-0.1680753325,4.420,-0.2246240425,4.420,0.1963496875,4.420,-0.1665045350,4.420,0.1822125100
4.430,-0.0518363175,4.430,0.0141371775,4.430,1.4311468677E-17,4.430,0.0895354575,4.430,0.2246240425,4.430,-0.2733187650,4.430,0.0502655200,4.430,-0.2073452700,4.430,-0.0125663800,4.430,-0.0047123925,4.430,0.1429425725,4.430,0.0031415950,4.430,-0.1665045350,4.430,-0.2261948400,4.430,0.1947788900,4.430,-0.1617921425,4.430,0.1727877250
4.440,-0.0518363175,4.440,0.0109955825,4.440,-0.0015707975,4.440,0.0942478500,4.440,0.2261948400,4.440,-0.2764603600,4.440,0.0439823300,4.440,-0.2026328775,4.440,-0.0094247850,4.440,-0.0094247850,4.440,0.1429425725,4.440,0.0125663800,4.440,-0.1649337375,4.440,-0.2277656375,4.440,0.1916372950,4.440,-0.1570797500,4.440,0.1617921425
4.450,-0.0502655200,4.450,0.0094247850,4.450,-0.0031415950,4.450,0.1005310400,4.450,0.2293364350,4.450,-0.2796019550,4.450,0.0361283425,4.450,-0.1979204850,4.450,-0.0078539875,4.450,-0.0141371775,4.450,0.1413717750,4.450,0.0219911650,4.450,-0.1617921425,4.450,-0.2293364350,4.450,0.1900664975,4.450,-0.1507965600,4.450,0.1507965600
4.460,-0.0502655200,4.460,0.0078539875,4.460,-0.0047123925,4.460,0.1052434325,4.460,0.2309072325,4.460,-0.2811727525,4.460,0.0298451525,4.460,-0.1916372950,4.460,-0.0047123925,4.460,-0.0188495700,4.460,0.1413717750,4.460,0.0314159500,4.460,-0.1602213450,4.460,-0.2293364350,4.460,0.1869249025,4.460,-0.1460841675,4.460,0.1398009775
4.470,-0.0486947225,4.470,0.0062831900,4.470,-0.0047123925,4.470,0.1083850275,4.470,0.2324780300,4.470,-0.2827435500,4.470,0.0235619625,4.470,-0.1869249025,4.470,-0.0031415950,4.470,-0.0251327600,4.470,0.1398009775,4.470,0.0408407350,4.470,-0.1570797500,4.470,-0.2293364350,4.470,0.1822125100,4.470,-0.1398009775,4.470,0.1288053950
4.480,-0.0471239250,4.480,0.0031415950,4.480,-0.0062831900,4.480,0.1130974200,4.480,0.2340488275,4.480,-0.2843143475,4.480,0.0172787725,4.480,-0.1806417125,4.480,-0.0015707975,4.480,-0.0314159500,4.480,0.1382301800,4.480,0.0502655200,4.480,-0.1539381550,4.480,-0.2309072325,4.480,0.1790709150,4.480,-0.1335177875,4.480,0.1162390150
4.490,-0.0455531275,4.490,0.0015707975,4.490,-0.0062831900,4.490,0.1178098125,4.490,0.2356196250,4.490,-0.2858851450,4.490,0.0094247850,4.490,-0.1743585225,4.490,-7.3725747729E-18,4.490,-0.0376991400,4.490,0.1366593825,4.490,0.0612611025,4.490,-0.1492257625,4.490,-0.2293364350,4.490,0.1743585225,4.490,-0.1272345975,4.490,0.1052434325
4.500,-0.0439823300,4.500,-0.0015707975,4.500,-0.0062831900,4.500,0.1209514075,4.500,0.2356196250,4.500,-0.2874559425,4.500,0.0031415950,4.500,-0.1680753325,4.500,-7.3725747729E-18,4.500,-0.0439823300,4.500,0.1335177875,4.500,0.0706858875,4.500,-0.1460841675,4.500,-0.2293364350,4.500,0.1680753325,4.500,-0.1193806100,4.500,0.0926770525
4.510,-0.0408407350,4.510,-0.0031415950,4.510,-0.0062831900,4.510,0.1240930025,4.510,0.2356196250,4.510,-0.2874559425,4.510,-0.0031415950,4.510,-0.1617921425,4.510,0.0015707975,4.510,-0.0518363175,4.510,0.1303761925,4.510,0.0816814700,4.510,-0.1413717750,4.510,-0.2277656375,4.510,0.1633629400,4.510,-0.1115266225,4.510,0.0785398750
4.520,-0.0392699375,4.520,-0.0062831900,4.520,-0.0062831900,4.520,0.1272345975,4.520,0.2356196250,4.520,-0.2874559425,4.520,-0.0094247850,4.520,-0.1555089525,4.520,0.0015707975,4.520,-0.0581195075,4.520,0.1288053950,4.520,0.0911062550,4.520,-0.1366593825,4.520,-0.2261948400,4.520,0.1586505475,4.520,-0.1052434325,4.520,0.0659734950
4.530,-0.0361283425,4.530,-0.0094247850,4.530,-0.0062831900,4.530,0.1303761925,4.530,0.2356196250,4.530,-0.2874559425,4.530,-0.0157079750,4.530,-0.1476549650,4.530,0.0015707975,4.530,-0.0659734950,4.530,0.1240930025,4.530,0.1021018375,4.530,-0.1319469900,4.530,-0.2246240425,4.530,0.1523673575,4.530,-0.0973894450,4.530,0.0534071150
4.540,-0.0345575450,4.540,-0.0125663800,4.540,-0.0047123925,4.540,0.1335177875,4.540,0.2340488275,4.540,-0.2874559425,4.540,-0.0204203675,4.540,-0.1413717750,4.540,0.0015707975,4.540,-0.0738274825,4.540,0.1209514075,4.540,0.1115266225,4.540,-0.1272345975,4.540,-0.2214824475,4.540,0.1460841675,4.540,-0.0895354575,4.540,0.0392699375
4.550,-0.0314159500,4.550,-0.0157079750,4.550,-0.0047123925,4.550,0.1350885850,4.550,0.2324780300,4.550,-0.2874559425,4.550,-0.0267035575,4.550,-0.1335177875,4.550,-7.3725747729E-18,4.550,-0.0816814700,4.550,0.1162390150,4.550,0.1209514075,4.550,-0.1225222050,4.550,-0.2183408525,4.550,0.1398009775,4.550,-0.0816814700,4.550,0.0267035575
4.560,-0.0282743550,4.560,-0.0172787725,4.560,-0.0031415950,4.560,0.1366593825,4.560,0.2309072325,4.560,-0.2858851450,4.560,-0.0329867475,4.560,-0.1272345975,4.560,-0.0015707975,4.560,-0.0895354575,4.560,0.1115266225,4.560,0.1303761925,4.560,-0.1162390150,4.560,-0.2151992575,4.560,0.1335177875,4.560,-0.0738274825,4.560,0.0141371775
4.570,-0.0251327600,4.570,-0.0204203675,4.570,-0.0015707975,4.570,0.1382301800,4.570,0.2293364350,4.570,-0.2843143475,4.570,-0.0376991400,4.570,-0.1193806100,4.570,-0.0015707975,4.570,-0.0989602425,4.570,0.1068142300,4.570,0.1398009775,4.570,-0.1099558250,4.570,-0.2120576625,4.570,0.1272345975,4.570,-0.0644026975,4.570,0.0015707975
4.580,-0.0219911650,4.580,-0.0235619625,4.580,1.4311468677E-17,4.580,0.1398009775,4.580,0.2261948400,4.580,-0.2827435500,4.580,-0.0424115325,4.580,-0.1115266225,4.580,-0.0031415950,4.580,-0.1068142300,4.580,0.1021018375,4.580,0.1492257625,4.580,-0.1036726350,4.580,-0.2073452700,4.580,0.1209514075,4.580,-0.0565487100,4.580,-0.0109955825
4.590,-0.0188495700,4.590,-0.0267035575,4.590,0.0015707975,4.590,0.1413717750,4.590,0.2230532450,4.590,-0.2811727525,4.590,-0.0486947225,4.590,-0.1052434325,4.590,-0.0062831900,4.590,-0.1146682175,4.590,0.0973894450,4.590,0.1586505475,4.590,-0.0973894450,4.590,-0.2026328775,4.590,0.1130974200,4.590,-0.0486947225,4.590,-0.0235619625
4.600,-0.0157079750,4.600,-0.0298451525,4.600,0.0031415950,4.600,0.1413717750,4.600,0.2199116500,4.600,-0.2780311575,4.600,-0.0534071150,4.600,-0.0973894450,4.600,-0.0078539875,4.600,-0.1240930025,4.600,0.0926770525,4.600,0.1680753325,4.600,-0.0911062550,4.600,-0.1979204850,4.600,0.1068142300,4.600,-0.0408407350,4.600,-0.0361283425
4.610,-0.0125663800,4.610,-0.0345575450,4.610,0.0047123925,4.610,0.1429425725,4.610,0.2167700550,4.610,-0.2764603600,4.610,-0.0565487100,4.610,-0.0895354575,4.610,-0.0109955825,4.610,-0.1319469900,4.610,0.0863938625,4.610,0.1759293200,4.610,-0.0848230650,4.610,-0.1932080925,4.610,0.0989602425,4.610,-0.0329867475,4.610,-0.0486947225
4.620,-0.0094247850,4.620,-0.0376991400,4.620,0.0078539875,4.620,0.1429425725,4.620,0.2120576625,4.620,-0.2733187650,4.620,-0.0612611025,4.620,-0.0832522675,4.620,-0.0125663800,4.620,-0.1413717750,4.620,0.0801106725,4.620,0.1853541050,4.620,-0.0785398750,4.620,-0.1869249025,4.620,0.0926770525,4.620,-0.0251327600,4.620,-0.0596903050
4.630,-0.0047123925,4.630,-0.0408407350,4.630,0.0094247850,4.630,0.1429425725,4.630,0.2089160675,4.630,-0.2701771700,4.630,-0.0659734950,4.630,-0.0753982800,4.630,-0.0157079750,4.630,-0.1507965600,4.630,0.0738274825,4.630,0.1932080925,4.630,-0.0722566850,4.630,-0.1806417125,4.630,0.0848230650,4.630,-0.0172787725,4.630,-0.0706858875
4.640,-0.0015707975,4.640,-0.0439823300,4.640,0.0125663800,4.640,0.1413717750,4.640,0.2042036750,4.640,-0.2670355750,4.640,-0.0691150900,4.640,-0.0675442925,4.640,-0.0188495700,4.640,-0.1586505475,4.640,0.0675442925,4.640,0.2010620800,4.640,-0.0659734950,4.640,-0.1743585225,4.640,0.0769690775,4.640,-0.0109955825,4.640,-0.0816814700
4.650,0.0031415950,4.650,-0.0471239250,4.650,0.0157079750,4.650,0.1413717750,4.650,0.1994912825,4.650,-0.2623231825,4.650,-0.0722566850,4.650,-0.0612611025,4.650,-0.0235619625,4.650,-0.1680753325,4.650,0.0612611025,4.650,0.2073452700,4.650,-0.0581195075,4.650,-0.1696461300,4.650,0.0691150900,4.650,-0.0031415950,4.650,-0.0926770525
4.660,0.0062831900,4.660,-0.0518363175,4.660,0.0188495700,4.660,0.1398009775,4.660,0.1932080925,4.660,-0.2591815875,4.660,-0.0753982800,4.660,-0.0534071150,4.660,-0.0267035575,4.660,-0.1759293200,4.660,0.0549779125,4.660,0.2136284600,4.660,-0.0518363175,4.660,-0.1633629400,4.660,0.0628319000,4.660,0.0031415950,4.660,-0.1021018375
4.670,0.0109955825,4.670,-0.0549779125,4.670,0.0219911650,4.670,0.1382301800,4.670,0.1884957000,4.670,-0.2544691950,4.670,-0.0785398750,4.670,-0.0471239250,4.670,-0.0314159500,4.670,-0.1837833075,4.670,0.0486947225,4.670,0.2199116500,4.670,-0.0455531275,4.670,-0.1570797500,4.670,0.0549779125,4.670,0.0109955825,4.670,-0.1130974200
4.680,0.0157079750,4.680,-0.0581195075,4.680,0.0251327600,4.680,0.1366593825,4.680,0.1822125100,4.680,-0.2497568025,4.680,-0.0816814700,4.680,-0.0408407350,4.680,-0.0345575450,4.680,-0.1916372950,4.680,0.0424115325,4.680,0.2246240425,4.680,-0.0392699375,4.680,-0.1492257625,4.680,0.0486947225,4.680,0.0172787725,4.680,-0.1225222050
